number,lang,month,date,page_url,permalink
1,ja,2004-08,2004-08-02,https://www.gamefreak.co.jp/blog/dir/2004/08/index.html,
2,ja,2004-08,2004-08-03,https://www.gamefreak.co.jp/blog/dir/2004/08/index.html,
3,ja,2004-08,2004-08-04,https://www.gamefreak.co.jp/blog/dir/2004/08/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%93%e5%9b%9e%e3%83%bb/
3,en,2004-08,2004-08-04,https://www.gamefreak.co.jp/blog/dir_english/2004/08/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-3
4,ja,2004-08,2004-08-05,https://www.gamefreak.co.jp/blog/dir/2004/08/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%94%e5%9b%9e%e3%83%bb/
4,en,2004-08,2004-08-05,https://www.gamefreak.co.jp/blog/dir_english/2004/08/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-4
5,ja,2004-08,2004-08-06,https://www.gamefreak.co.jp/blog/dir/2004/08/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%95%e5%9b%9e%e3%83%bb/
5,en,2004-08,2004-08-06,https://www.gamefreak.co.jp/blog/dir_english/2004/08/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-5
6,ja,2004-08,2004-08-16,https://www.gamefreak.co.jp/blog/dir/2004/08/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%96%e5%9b%9e%e3%83%bb/
6,en,2004-08,2004-08-16,https://www.gamefreak.co.jp/blog/dir_english/2004/08/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-6
7,ja,2004-08,2004-08-17,https://www.gamefreak.co.jp/blog/dir/2004/08/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%97%e5%9b%9e%e3%83%bb/
7,en,2004-08,2004-08-17,https://www.gamefreak.co.jp/blog/dir_english/2004/08/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-7
