id,title,original_title,url,archive_url,date,people,generation,language,outlet,type,tags,summary,post_file,status,era_skin,imported_post_slug,imported_post_path,translation_file,title_zh,post_slug,source_name,source_url,imported_file,era,imported_date,year,imported,file_path,note,chinese_title,post_url,speaker,publication,file
PKMN-0001,Pokemon Peer 官方专访：杉森建、大村祐介、井部真那与田上怜子谈《黑·白》设计秘辛,‘Pokemon Peer’ Interview Translations: Designing the Unova Pokémon,https://www.pokebeach.com/2010/09/pokemon-peer-interview-translations,https://web.archive.org/web/*/https://www.pokebeach.com/2010/09/pokemon-peer-interview-translations,2010-09-10,杉森建; 大村祐介; 井部真那; 田上怜子,Gen 5,EN,Pokemon Peer (ポケモン ピア) / Pokebeach,Web Interview,增田顺一; 杉森建; 井部真那; 田上怜子; 第五世代; 黑白; JP; Gen 5; EN; Notion精选,宝可梦主创访谈数据库收录项目：‘Pokemon Peer’ Interview Translations，关注Gen 5开发幕后。,_posts/2010-09-10-interview-pokemon-peer-sugimori-ohmori-designers.md,imported,2011,,,,,,,,,,,,,,,,,,,
PKMN-0002,“为全世界所有孩子创造喜爱的作品，让人既感动又心怀敬畏”——西班牙《国家报》专访增田顺一与大森滋,"“Crear algo que todos los niños aman, abruma”",https://elpais.com/cultura/2014/11/01/actualidad/1414798048_551223.html,https://web.archive.org/web/*/https://elpais.com/cultura/2014/11/01/actualidad/1414798048_551223.html,2014-11-01,增田顺一; 大森滋,Gen 6,ES,El País,Web Interview,增田顺一; 大森滋; 第六世代; ORAS; ES; Gen 6; Notion精选,宝可梦主创访谈数据库收录项目：“Crear algo que aman todos los niños del mundo abruma”，关注Gen 6开发幕后。,_posts/2014-11-01-interview-elpais-oras-masuda-ohmori.md,imported,,interview-elpais-oras-masuda-ohmori,_posts/2014-11-01-interview-elpais-oras-masuda-ohmori.md,,,,,,,,,,,,,,,,,
PKMN-0003,Notion收录：[Enquête] Game Freak en Dordogne : le futur de Pokémon ? GF 前往南法取材,[Enquête] Game Freak en Dordogne : le futur de Pokémon ? GF 前往南法取材,https://www.pokemontrash.com/news/2017-game-freak-dordogne-enquete/,https://web.archive.org/web/*/https://www.pokemontrash.com/news/2017-game-freak-dordogne-enquete/,2017-11-06,增田顺一; 大森滋; 海野隆雄; 岩尾和昌,Gen 6,FR,Notion Archive,Web Interview,增田顺一; 大森滋; 岩尾和昌; 海野隆雄; 第六世代; XY; Gen 6; FR; Notion精选,宝可梦主创访谈数据库收录项目：[Enquête] Game Freak en Dordogne : le futur de Pokémon ? GF 前往南法取材，关注Gen 6开发幕后。,,unimported,,,,,,,,,,,,,,,,,,,,
PKMN-0004,Notion收录：《Pokemon GO》完成度仅10%？热潮超过预测100 倍？开发秘辛圆桌会议深入报导,《Pokemon GO》完成度仅10%？热潮超过预测100 倍？开发秘辛圆桌会议深入报导,https://gnn.gamer.com.tw/detail.php?sn=137973,https://web.archive.org/web/*/https://gnn.gamer.com.tw/detail.php?sn=137973,2010-01-01,Game Freak 开发团队,综合专题,JA,Notion Archive,Web Interview,综合专题; JA; Notion精选,宝可梦主创访谈数据库收录项目：《Pokemon GO》完成度仅10%？热潮超过预测100 倍？开发秘辛圆桌会议深入报导，关注综合专题开发幕后。,_posts/2016-09-30-interview-gnn-pokemon-go-tokyo-roundtable.md,imported,,interview-gnn-pokemon-go-tokyo-roundtable,_posts/2016-09-30-interview-gnn-pokemon-go-tokyo-roundtable.md,_posts/2016-09-30-interview-gnn-pokemon-go-tokyo-roundtable.md,巴哈姆特GNN 现场直击：Niantic × 宝可梦东京圆桌会议——《Pokémon GO》完成度仅10%？热潮超预期百倍与未来生态展望,,,,,,,,,,,,,,,
PKMN-0005,4Gamer 现场直击：增田顺一与景山将太谈《宝可梦 X·Y》音乐制作秘辛、布拉塔诺博士设定与横滨粉丝见面会全记录,「ポケットモンスター X・Y」のサウンド制作秘話を開発陣が披露。ポケモンセンターヨコハマで開催されたファンミーティングをレポート,https://www.4gamer.net/games/198/G019893/20131116014/,https://web.archive.org/web/*/https://www.4gamer.net/games/198/G019893/20131116014/,2013-11-16,増田順一; 景山将太,Gen 6,JA,4Gamer.net,Web Interview,增田顺一; 景山将太; JP; 第六世代; XY; Gen 6; JA; Notion精选,宝可梦主创访谈数据库收录项目：「ポケットモンスター X・Y」のサウンド制作秘話を開発陣が披露。ポケモンセンターヨコハマで開催されたファンミーティングをレポート，关注Gen 6开发幕后。,_posts/2013-11-16-interview-4gamer-xy-music-fanmeeting-masuda-kageyama.md,imported,2014,,,,,,,,,,,,,,,,,,,
PKMN-0006,Nintendo Dream 专访增田顺一：《宝可梦 黑／白》合众大桥世界观设定·高迪美学、喷火龙剪影与力学隐喻,「ポケットモンスター ブラック ホワイト」のイッシュ地方の「橋」（ブリッジ）の設定,http://pokemon-memo.com/2011/02/21/black-white-bridge/,https://web.archive.org/web/*/http://pokemon-memo.com/2011/02/21/black-white-bridge/,2011-02-21,增田顺一,Gen 5,JA,Nintendo Dream (Pokemon-Memo),Web Interview,增田顺一; 第五世代; 黑白; JP; Gen 5; JA; Notion精选,宝可梦主创访谈数据库收录项目：「ポケットモンスター ブラック ホワイト」のイッシュ地方の「橋」（ブリッジ）の設定，关注Gen 5开发幕后。,_posts/2011-02-21-interview-nintendodream-bw-bridges-masuda.md,imported,,interview-nintendodream-bw-bridges-masuda,_posts/2011-02-21-interview-nintendodream-bw-bridges-masuda.md,,,,,,,,,,,,,,,,,
PKMN-0007,Notion收录：｢ポケモン ソード・シールド｣ゲームフリークの増田順一氏と大森滋氏インタビュー,｢ポケモン ソード・シールド｣ゲームフリークの増田順一氏と大森滋氏インタビュー,https://ameblo.jp/angelique-kiss/entry-12539834798.html,https://web.archive.org/web/*/https://ameblo.jp/angelique-kiss/entry-12539834798.html,2010-01-01,增田顺一; 大森滋,Gen 8,JA,Notion Archive,Web Interview,增田顺一; 大森滋; 第八世代; 剑盾; JP; Gen 8; JA; Notion精选,宝可梦主创访谈数据库收录项目：｢ポケモン ソード・シールド｣ゲームフリークの増田順一氏と大森滋氏インタビュー，关注Gen 8开发幕后。,_posts/2019-10-25-interview-famitsu-sword-shield-masuda-ohmori.md,imported,,interview-famitsu-sword-shield-masuda-ohmori,_posts/2019-10-25-interview-famitsu-sword-shield-masuda-ohmori.md,,,2019-10-25-interview-famitsu-sword-shield-masuda-ohmori,,,,,,,,,,,,,,
PKMN-0008,《宝可梦 探险寻宝》与《Let's Go！皮卡丘·伊布》新作发布会现场深度全记录与主创访谈,「ポケモンクエスト」「ポケモン Let's Go! ピカチュウ・Let's Go! イーブイ」、そしてSwitch向け完全新作にも言及したポケモン新作発表会をレポート,https://www.gamer.ne.jp/news/201805300063/,https://web.archive.org/web/*/https://www.gamer.ne.jp/news/201805300063/,2018-05-30,石原恒和; 增田顺一; 高桥伸也; 大森滋; 松崎翼; 齐田和生; 野村达雄,Gen 7,JP,Gamer.ne.jp,Web Interview,增田顺一; 大森滋; 石原恒和; 松崎翼; 斉田和生; 高橋伸也; 野村達雄; 第八世代; JP; LGPE; QUEST; Gen 7; ES; Notion精选,宝可梦主创访谈数据库收录项目：「ポケモンクエスト」「ポケモン Let's Go! ピカチュウ・Let's Go! イーブイ」、そしてSwitch向け完全新作にも言及したポケモン新作発表会をレポート，关注Gen 7开发幕后。,_posts/2018-05-30-interview-gamer-pokemon-press-conference-2018.md,imported,,interview-gamer-pokemon-press-conference-2018,_posts/2018-05-30-interview-gamer-pokemon-press-conference-2018.md,,,,,,,,,,,,,,,,,
PKMN-0009,正因为“唯有宝可梦”才有趣：将一切押注在宝可梦身上的两位领舵人,「ポケモンだから」面白い。ポケモンにすべてを懸ける2人の挑戦,https://newspicks.com/news/2833811/body/,https://web.archive.org/web/*/https://newspicks.com/news/2833811/body/,2018-02-23,宇都宫崇人; 河本拓,Gen 7,JP,NewsPicks,Web Interview,宇都宫崇人; 第七世代; 宝株; JP; 河本拓氏; Gen 7; JA; Notion精选,宝可梦主创访谈数据库收录项目：「ポケモンだけ」だから面白い。ポケモンにすべてを懸けるふたり，关注Gen 7开发幕后。,_posts/2018-02-23-interview-newspicks-pokemon-utsunomiya-kawamoto.md,imported,,interview-newspicks-pokemon-utsunomiya-kawamoto,_posts/2018-02-23-interview-newspicks-pokemon-utsunomiya-kawamoto.md,,,,,,,,,,,,,,,,,
PKMN-0010,Notion收录：『ポケットモンスター X・Y』のトークイベントをレポ！ 増田順一さんらがBGMや未公開の設定資料などについて語った!!,『ポケットモンスター X・Y』のトークイベントをレポ！ 増田順一さんらがBGMや未公開の設定資料などについて語った!!,https://dengekionline.com/elem/000/000/753/753933/,https://web.archive.org/web/*/https://dengekionline.com/elem/000/000/753/753933/,2010-01-01,增田顺一,Gen 6,JA,Notion Archive,Web Interview,增田顺一; XY; 第六世代; JP; Gen 6; JA; Notion精选,宝可梦主创访谈数据库收录项目：『ポケットモンスター X・Y』のトークイベントをレポ！ 増田順一さんらがBGMや未公開の設定資料などについて語った!!，关注Gen 6开发幕后。,_posts/2013-11-16-interview-dengeki-xy-masuda-kageyama-setting-art.md,imported,,interview-dengeki-xy-masuda-kageyama-setting-art,_posts/2013-11-16-interview-dengeki-xy-masuda-kageyama-setting-art.md,_posts/2013-11-16-interview-dengeki-xy-masuda-kageyama-setting-art.md,电击Online 现场直击：增田顺一与景山将太谈《宝可梦 X·Y》音乐与世界观——布拉塔诺博士与卡鲁穆未公开绝密初期草图公开,,,,,,,,,,,,,,,
